title,author,length
Gateway,By: Craig Alanson,Length: 21 hrs and 40 mins
Garden of Sanctuary,By: pirateaba,Length: 32 hrs and 59 mins
The Seven Rings,By: Nora Roberts,Length: 14 hrs and 30 mins
Rebel World,By: B.V. Larson,Length: 13 hrs and 20 mins
Fantastic Love: A Romance 4 Men Collection,By: Peter North,Length: 28 hrs and 6 mins
Defiance of the Fall 14,"By: TheFirstDefier, JF Brink",Length: 21 hrs and 54 mins
Framed in Death,By: J. D. Robb,Length: 12 hrs and 51 mins
"Magic, Academies & Vampires",By: Benjamin Kerei,Length: 11 hrs and 6 mins
The Fallen and the Kiss of Dusk,By: Carissa Broadbent,Length: 17 hrs and 46 mins
If This Was a Movie,By: Morgan Elizabeth,Length: 8 hrs and 47 mins
First Lensman,By: Smith Edward Elmer,Length: 10 hrs and 57 mins
Threshold,By: Will Wight,Length: 8 hrs and 35 mins
Corrupted Pleasure,By: Eva Winners,Length: 12 hrs and 29 mins
Throne of Glass (Dramatized Adaptation),By: Sarah J. Maas,Length: 10 hrs
Hearthomancy Vol. 3,By: M.E. Thorne,Length: 11 hrs and 48 mins
Dead Freeze 2,"By: Misty Vixen, Lara X. Lust",Length: 8 hrs and 17 mins
The Primal of Blood and Bone,By: Jennifer L. Armentrout,Length: 24 hrs
The Grandmother,By: Jane E. James,Length: 8 hrs and 39 mins
Nuts and Bolts Holiday,By: BL Maxwell,Length: 1 hr and 5 mins
Dare Crossover Series Box Set: Books 1-4,"By: Carly Phillips, Erika Wilde",Length: 23 hrs and 7 mins
