title,author,length
1. The Let Them Theory,By: Mel Robbins,Length: 10 hrs and 38 mins
2. James,By: Percival Everett,Length: 7 hrs and 49 mins
3. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
4. Onyx Storm,By: Rebecca Yarros,Length: 14 hrs and 15 mins
5. Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
6. Quicksilver,By: Callie Hart,Length: 20 hrs and 41 mins
7. Fourth Wing,By: Rebecca Yarros,Length: 21 hrs and 22 mins
8. The Women,By: Kristin Hannah,Length: 14 hrs and 57 mins
9. The Briar Club,By: Kate Quinn,Length: 15 hrs and 3 mins
10. The God of the Woods,By: Liz Moore,Length: 14 hrs and 35 mins
11. Wind and Truth,By: Brandon Sanderson,Length: 62 hrs and 48 mins
12. The Wedding People,By: Alison Espach,Length: 11 hrs and 37 mins
13. 101 Essays That Will Change the Way You Think,By: Brianna Wiest,Length: 10 hrs and 45 mins
14. The Housemaid,By: Freida McFadden,Length: 9 hrs and 46 mins
15. The Boyfriend,By: Freida McFadden,Length: 9 hrs and 20 mins
16. Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
17. Fourth Wing (Part 1 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 7 hrs and 52 mins
18. 48 Laws of Power,By: Robert Greene,Length: 23 hrs and 6 mins
19. The Anxious Generation,By: Jonathan Haidt,Length: 10 hrs and 32 mins
20. Mythos,By: Stephen Fry,Length: 15 hrs and 26 mins
21. Lights Out,By: Navessa Allen,Length: 13 hrs and 38 mins
22. Here One Moment,By: Liane Moriarty,Length: 15 hrs and 53 mins
23. Revenge of the Tipping Point,By: Malcolm Gladwell,Length: 8 hrs and 25 mins
24. Familiaris,By: David Wroblewski,Length: 37 hrs and 12 mins
"25. Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
26. Fourth Wing (Part 2 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 9 hrs and 22 mins
27. The Goddess of Warsaw,By: Lisa Barr,Length: 13 hrs and 3 mins
28. One by One,By: Freida McFadden,Length: 6 hrs and 42 mins
29. Throne of Glass,By: Sarah J. Maas,Length: 13 hrs and 3 mins
30. Gild,By: Raven Kennedy,Length: 9 hrs and 16 mins
31. All the Colors of the Dark,By: Chris Whitaker,Length: 14 hrs and 37 mins
32. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 54 mins
33. The Frozen River,By: Ariel Lawhon,Length: 15 hrs and 5 mins
34. Listen for the Lie,By: Amy Tintera,Length: 9 hrs and 18 mins
35. The Midnight Feast,By: Lucy Foley,Length: 10 hrs and 20 mins
36. A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
37. Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
38. Code Name Hélène,By: Ariel Lawhon,Length: 17 hrs and 17 mins
39. Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
40. The Way of Kings,By: Brandon Sanderson,Length: 45 hrs and 30 mins
41. Iron Flame (Part 1 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 11 hrs and 38 mins
42. Be Ready When the Luck Happens,By: Ina Garten,Length: 8 hrs and 47 mins
43. Cher: Part One,By: Cher,Length: 15 hrs and 47 mins
44. First Lie Wins,By: Ashley Elston,Length: 9 hrs and 16 mins
45. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 51 mins
46. Gateway,By: Craig Alanson,Length: 21 hrs and 40 mins
47. The Book of Lost Friends,By: Lisa Wingate,Length: 15 hrs and 6 mins
48. The Nightingale,By: Kristin Hannah,Length: 17 hrs and 19 mins
49. We Who Wrestle with God,By: Jordan B. Peterson,Length: 25 hrs and 13 mins
50. The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
51. A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
52. The Whistler,By: John Grisham,Length: 13 hrs and 10 mins
53. Iron Flame (Part 2 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 9 hrs and 27 mins
54. The Mountain Is You,By: Brianna Wiest,Length: 5 hrs and 44 mins
